Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Lucy KENYON,,IQFOIL Fem. ,29.0,G,68,,380.0,273.0,World Championship 2023,Race 12 Silver Heat 1
,,Aimee BRIGHT,,IQFOIL Fem. ,34.0,G,66,,377.0,264.0,World Championship 2023,Race 12 Silver Heat 1
,,Katerina ALTMANNOVA,,IQFOIL Fem. ,36.0,G,57,,326.0,214.0,World Championship 2023,Race 12 Silver Heat 1
,,Andrea TORRES FULLANA,,IQFOIL Fem. ,8.0,G,49,,304.0,182.0,World Championship 2023,Race 12 Silver Heat 1
,,Catrin WILLIAMS,,IQFOIL Fem. ,22.0,G,71,,409.0,282.0,World Championship 2023,Race 12 Silver Heat 1
,,Cecilia Haslund ORESKOV,,IQFOIL Fem. ,33.0,G,84,,516.0,387.0,World Championship 2023,Race 12 Silver Heat 1
,,Anna WEIS,,IQFOIL Fem. ,45.0,G,80,,484.0,349.0,World Championship 2023,Race 12 Silver Heat 1
,,Rebecca HELLER,,IQFOIL Fem. ,41.0,G,87,,594.0,457.0,World Championship 2023,Race 12 Silver Heat 1
,,Sara SZENTIVANYI,,IQFOIL Fem. ,45.0,G,86,,589.0,450.0,World Championship 2023,Race 12 Silver Heat 1
,,Kristyna PINOSOVA,,IQFOIL Fem. ,1.0,G,55,,308.0,211.0,World Championship 2023,Race 12 Silver Heat 1
,,Lena ERDIL,,IQFOIL Fem. ,14.0,G,47,,247.0,166.0,World Championship 2023,Race 12 Silver Heat 1
,,Merve VATAN,,IQFOIL Fem. ,9.0,G,52,,311.0,204.0,World Championship 2023,Race 12 Silver Heat 1
,,Katya Ida COELHO,,IQFOIL Fem. ,45.0,G,88,,636.0,497.0,World Championship 2023,Race 12 Silver Heat 1
,,Lorena ABICHT,,IQFOIL Fem. ,30.0,G,79,,477.0,348.0,World Championship 2023,Race 12 Silver Heat 1
,,Giovanna PRADA,,IQFOIL Fem. ,20.0,G,67,,379.0,267.0,World Championship 2023,Race 12 Silver Heat 1
,,Samantha COSTIN,,IQFOIL Fem. ,28.0,G,63,,357.0,258.0,World Championship 2023,Race 12 Silver Heat 1
,,Aleksandra BLINNIKKA,,IQFOIL Fem. ,6.0,G,56,,315.0,212.0,World Championship 2023,Race 12 Silver Heat 1
,,Dominique STATER,,IQFOIL Fem. ,11.0,G,50,,314.8,194.8,World Championship 2023,Race 12 Silver Heat 1
,,Johanna HJERTBERG,,IQFOIL Fem. ,2.0,G,58,,349.0,230.0,World Championship 2023,Race 12 Silver Heat 1
